idx,partition,spk_a,utt_a,spk_b,utt_b,snr_a,snr_b,dur_sec,wav_a,wav_b,mp4_a,out_wav,out_mp4
0,train,part_00000-05000_vg0059,0ab4aeed-d234-4be3-ae3c-4cb31c8a2fe2,第一批_5%_vg0258,7f264045-c63a-4293-8f64-d91ec13f6e60,0.000000,-4.302260,19.667,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0ab4aeed-d234-4be3-ae3c-4cb31c8a2fe2.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/7f264045-c63a-4293-8f64-d91ec13f6e60.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0ab4aeed-d234-4be3-ae3c-4cb31c8a2fe2.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0000.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0000.mp4
1,train,part_75000-80000_vg0082,6b77fb4b-80c4-4db2-8b34-577b2a8dad5d,第一批_5%_vg0032,0f970c6b-4ead-4514-9993-8ef0583d9bcb,0.000000,-3.057806,10.031,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_75000-80000/6b77fb4b-80c4-4db2-8b34-577b2a8dad5d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/0f970c6b-4ead-4514-9993-8ef0583d9bcb.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_75000-80000/6b77fb4b-80c4-4db2-8b34-577b2a8dad5d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0001.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0001.mp4
2,train,part_50000-60000_vg0068,62f4b43f-55de-472b-800d-816486c58b99,第二批_5%_vg0154,cd672a6f-2b2d-44a3-ae6a-08d74fd48cc5,0.000000,-5.584459,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/62f4b43f-55de-472b-800d-816486c58b99.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/cd672a6f-2b2d-44a3-ae6a-08d74fd48cc5.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/62f4b43f-55de-472b-800d-816486c58b99.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0002.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0002.mp4
3,train,第一批_5%_vg0164,505f6e25-ef5c-4f22-953c-53335c8f31ba,part_10000-15000_vg0059,2e0fcbda-a0cc-447b-912b-8cd63320989a,0.000000,-5.123899,12.353,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/505f6e25-ef5c-4f22-953c-53335c8f31ba.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_10000-15000/2e0fcbda-a0cc-447b-912b-8cd63320989a.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/505f6e25-ef5c-4f22-953c-53335c8f31ba.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0003.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0003.mp4
4,train,第一批_5%_vg0089,2bc91692-0ca9-486a-892f-a18673cffb33,part_40000-50000_vg0165,50f2978a-3f3a-44e7-962a-fd650c285c37,0.000000,-3.704137,24.079,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/2bc91692-0ca9-486a-892f-a18673cffb33.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/50f2978a-3f3a-44e7-962a-fd650c285c37.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/2bc91692-0ca9-486a-892f-a18673cffb33.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0004.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0004.mp4
5,train,第二批_5%_vg0250,fc4371f4-5772-4511-a98e-35fe5b6e696c,part_70000-75000_vg0059,5bc12131-c0ca-4b09-bf56-e3677a414c27,0.000000,-5.348434,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/fc4371f4-5772-4511-a98e-35fe5b6e696c.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_70000-75000/5bc12131-c0ca-4b09-bf56-e3677a414c27.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/fc4371f4-5772-4511-a98e-35fe5b6e696c.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0005.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0005.mp4
6,val,第一批_5%_vg0115,3829b2f6-f360-4c91-899b-2d1ab6f38b14,part_20000-25000_vg0077,0ad1bb06-5bfc-40d5-9716-1d62d2d83b87,0.000000,-5.403806,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/3829b2f6-f360-4c91-899b-2d1ab6f38b14.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/0ad1bb06-5bfc-40d5-9716-1d62d2d83b87.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/3829b2f6-f360-4c91-899b-2d1ab6f38b14.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0006.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0006.mp4
7,train,第一批_5%_vg0006,0372ba18-9f46-4eae-b400-c391985ca262,part_40000-50000_vg0007,33857be3-0d33-4eab-b05d-acac56862625,0.000000,-3.824810,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/0372ba18-9f46-4eae-b400-c391985ca262.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/33857be3-0d33-4eab-b05d-acac56862625.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/0372ba18-9f46-4eae-b400-c391985ca262.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0007.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0007.mp4
8,train,part_00000-05000_vg0073,0d36f91b-b28b-4354-9c9f-aa87cde5a6ca,part_60000-65000_vg0022,42102deb-b276-41ac-82f9-294c6eefe25d,0.000000,-3.241614,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/0d36f91b-b28b-4354-9c9f-aa87cde5a6ca.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_60000-65000/42102deb-b276-41ac-82f9-294c6eefe25d.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/0d36f91b-b28b-4354-9c9f-aa87cde5a6ca.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0008.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0008.mp4
9,train,第一批_5%_vg0061,1e4f3787-da4d-4cc1-9d25-a6510559695d,part_60000-65000_vg0066,476d42ca-b3cd-4aef-bcd8-ea7e9d4b1a7e,0.000000,-4.836674,8.011,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/1e4f3787-da4d-4cc1-9d25-a6510559695d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_60000-65000/476d42ca-b3cd-4aef-bcd8-ea7e9d4b1a7e.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/1e4f3787-da4d-4cc1-9d25-a6510559695d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0009.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0009.mp4
